Book_ID,Reservation_Date,Checkout_Date,Return_Date,Member_ID
1,---,21/12/2020,03/03/2021,6509
1,10/05/2018,09/11/2019,---,1396
1,27/03/2020,02/02/2012,09/05/2017,5319
1,29/08/2021,21/09/2020,27/10/2021,1317
1,31/03/2021,---,---,4179
1,---,01/04/2015,13/02/2017,6572
1,---,18/07/2020,09/08/2021,8102
1,---,30/10/2021,25/11/2021,4049
2,---,10/11/2019,---,5440
2,---,22/04/2013,24/11/2019,3802
2,---,12/05/2010,12/07/2017,7010
2,27/07/2013,---,---,9702
3,01/12/2019,28/07/2021,02/10/2021,4563
3,25/08/2021,07/01/2019,29/12/2021,4800
4,---,06/09/2013,22/10/2020,3233
4,---,10/12/2010,29/04/2021,8309
4,---,29/07/2017,04/01/2018,7593
5,22/02/2021,16/08/2021,05/12/2021,4430
5,29/04/2019,03/09/2014,31/05/2020,6637
5,18/12/2016,10/07/2014,29/09/2015,4397
5,29/08/2021,---,---,6319
6,24/07/2021,10/08/2019,23/09/2019,8798
6,---,25/10/2017,23/04/2020,6142
6,---,07/10/2012,24/08/2017,5302
7,---,10/04/2015,03/10/2021,4350
7,16/02/2021,18/06/2020,14/09/2020,9871
7,---,19/07/2021,30/07/2021,9574
7,22/04/2020,13/04/2018,25/04/2018,7640
7,25/09/2019,---,---,4539
8,11/11/2017,01/05/2012,29/05/2020,4073
8,08/05/2021,21/10/2012,08/07/2015,7456
8,03/04/2020,---,---,9308
9,08/08/2018,16/11/2016,01/05/2021,6813
9,---,17/02/2015,10/10/2018,6949
10,---,15/10/2011,22/02/2012,3247
10,---,15/03/2014,24/08/2016,8626
10,---,12/12/2019,17/08/2020,1370
10,---,13/10/2019,02/05/2020,2490
11,---,25/09/2014,27/12/2016,8456
12,---,19/12/2010,08/04/2013,6313
12,16/02/2020,31/10/2019,15/05/2020,2466
13,19/07/2019,09/05/2012,25/04/2013,9513
13,13/10/2021,25/12/2019,27/04/2021,7522
13,08/04/2019,24/04/2018,26/07/2018,6036
13,01/05/2020,26/06/2017,18/08/2017,6070
13,19/11/2021,28/11/2016,05/05/2019,9591
14,---,16/06/2021,16/12/2021,1523
14,---,05/11/2015,29/07/2016,1803
14,---,26/04/2011,21/12/2016,4592
14,21/01/2016,05/06/2015,10/11/2018,3264
15,26/12/2020,23/11/2018,21/07/2020,7363
16,---,21/06/2010,25/07/2019,9128
16,12/11/2021,03/04/2019,01/06/2020,8988
16,23/05/2020,12/11/2019,24/08/2020,8341
17,---,03/02/2021,26/11/2021,8510
17,---,14/08/2012,06/08/2021,4607
17,---,28/04/2013,25/11/2013,5027
17,---,30/08/2021,24/11/2021,9263
18,---,17/11/2013,23/09/2017,2654
18,09/08/2016,15/07/2016,05/04/2020,4025
18,09/01/2021,29/09/2020,25/06/2021,8978
18,06/08/2015,21/04/2014,09/12/2020,9593
